id_registro,id_coleta,data_scraping,data_analise_ia,data_geolocalizacao,evento,categoria,data_inicio,data_fim,horario_inicio,horario_fim,local_informado,endereco_informado,bairro_informado,referencia_local,descricao,confianca_extracao,observacoes,perfil,data_publicacao,url_post,shortcode,erros_imagem,_post_id,_event_index
725c2425c2a41f7d3803a2c22df08a65318bd226b072cf889432b13b52600565,,,,,Concurso Brasil Cup 2026 - noite de premiação e cerimônia de encerramento,gastronomia,2026-09-12,2026-09-12,,,Sesc Cacupé,,,,"Noite de premiação e encerramento do Concurso Brasil Cup 2026, com avaliação sensorial de bebidas e produtos não alcoólicos.",0.98,Data inferida a partir de 'no último sábado (12/09)' em relação à publicação de 2026-09-13.,floripa.cultural,2026-09-13 15:20:36,https://www.instagram.com/p/DdPMOrrEZFV/,DdPMOrrEZFV,imagem 7: UnidentifiedImageError; imagem 8: UnidentifiedImageError; imagem 9: UnidentifiedImageError; imagem 10: UnidentifiedImageError,DdPMOrrEZFV,0
8349a58c0894413e8e66e04ccc2ebfeb0e638513af360567e2a2c9636baa06a1,,,,,Festival de circo de Florianópolis,cultura,2026-09-12,2026-09-12,11:30,18:30,Floripa Shopping,,,,Festival de circo com entrada gratuita.,0.98,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,0
48f6f12c11ab02a40a315a2d9ea4cedf862497de362e3319d581551c15f7ee24,,,,,Cineclube da Mostra de Cinema Infantil,cultura,2026-09-12,2026-09-12,16:00,,Cinema do CIC,,,,Sessão de curtas brasileiras com temática indígena.,0.96,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,1
904159be5b00d3eae6732e1b0e12b3e9ad1e61917d9d58cc8fdb7502a1168926,,,,,Festival de Dança,cultura,2026-09-12,2026-09-12,,,Teatro do CIC,,,,Festival de dança com ingressos pela Blueticket.,0.92,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,2
fd676f13310f2f983ffd1753c6e7d54784674d9d7e2e854571822fa2ed1f4574,,,,,Tímon,cultura,2026-09-12,2026-09-12,19:30,,Teatro Camarim,,,,Espetáculo teatral da Persona Cia de Teatro.,0.96,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,3
cc2626e1ec4d8891883fa627e976791d846ddf6cf2cebbeb398507fc9a656e3f,,,,,Terapia,cultura,2026-09-12,2026-09-12,20:30,,Teatro Pedro Ivo,,,,Peça teatral com Marcelo Serrado.,0.96,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,4
bdfb9af83f55ee25d9a21c163a11d4bc3ce8a45bc3aaf84e7e5927fba9bd4c89,,,,,Nomade Orquestra,musica,2026-09-12,2026-09-12,21:00,,Bar DeRaiz,,,,Show de Nomade Orquestra no esquenta do Festival Saravá.,0.95,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,5
5a63d2ecaec7aca2f6e68b1ef2f8ad8a800d2aaf9561fea6e8d289acad360e3d,,,,,Teia do Brincar,cultura,2026-09-13,2026-09-13,09:00,12:00,"Parque Cultural do Campeche, Pacuca",,,,Vivência de brincadeiras da cultura infantil.,0.95,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,6
6ff38a36a6159f72a3890fd8be21e0a23b2fd90c07ecddd13d91df37372a9757,,,,,Marisco social,gastronomia,2026-09-13,2026-09-13,12:00,20:00,Centro de Eventos Oceania,,Ingleses,,Evento gastronômico Marisco social.,0.91,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,7
754d119e310464da56e80093f91e0a1662891b7f63a205a04c9f0fd73ed26e93,,,,,Festival de circo de Florianópolis,cultura,2026-09-13,2026-09-13,11:30,18:30,Floripa Shopping,,,,Festival de circo com entrada gratuita.,0.98,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,8
a6d2c62e43c3d36c041f8eb7a8fe4443719a89cacfb6cef78da16c5f9a5e3c3f,,,,,Festival de Dança,cultura,2026-09-13,2026-09-13,,,Teatro do CIC,,,,Festival de dança com ingressos pela Blueticket.,0.92,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,9
feb61e6d642ee55eae3c7e0e297ce70a1ef927e28ea3fb1bff92d3b41f6c3aa5,,,,,Terapia,cultura,2026-09-13,2026-09-13,17:00,19:30,Teatro Pedro Ivo,,,,Peça teatral com Marcelo Serrado.,0.96,,floripa.cultural,2026-09-12 09:50:32,https://www.instagram.com/p/DdMBGLKRUlr/,DdMBGLKRUlr,,DdMBGLKRUlr,10
